#reqtime=1732320360.978,2024-11-23 00:06:00.978,UTC
#URL=http://hvointernal.wr.usgs.gov/valve3//valve3.jsp?&a=rawData&o=csv&tz=UTC&w=900&h=780&n=1&x.0=75&y.0=20&w.0=750&h.0=240&mh.0=900&chCnt.0=1&src.0=hvo_def_gps&st.0=20060101000000000&et.0=20241120235959999&lg.0=true&ch.0=360&dataTypes.0=1104.7235723519698&plotType.0=ts&rk.0=9&ds.0=None&dsInt.0=&sdt.0=&ct.0=2&bl.0=[none]&linetype.0=o&ysLMin.0=&ysLMax.0=&despike_period.0=&filter_arg1.0=&filter_arg2.0=&despike.0=F&detrend.0=F&dmo_fl.0=0&filter_arg3.0=&dmo_arithmetic.0=None&dmo_arithmetic_value.0=&dmo_db.0=1&debias_period.0=&east.0=T&north.0=T&up.0=T&length.0=F&v_hs.0=T&v_vs.0=F&v_se.0=T&displacementBeforeStartTime.0=&displacementBeforeEndTime.0=&displacementBeforeModel.0=m&displacementAfterStartTime.0=&displacementAfterEndTime.0=&displacementAfterModel.0=m&d_hs.0=T&d_vs.0=F&d_se.0=T&plotSeparately.0=true
#source=hvo_def_gps
#st= 189345600.000, et= 785419199.999, chCnt=1
Epoch,Date,OUTL_east,OUTL_north,OUTL_up
1215345600.000,2008-07-06 12:00:00,        -0.292077,         0.176607,         0.452611
1215432000.000,2008-07-07 12:00:00,        -0.288973,         0.181899,         0.452207
1215518400.000,2008-07-08 12:00:00,        -0.288598,         0.183421,         0.438841
1215604800.000,2008-07-09 12:00:00,        -0.289594,         0.181592,         0.456836
1215691200.000,2008-07-10 12:00:00,        -0.288896,         0.182550,         0.437232
1215777600.000,2008-07-11 12:00:00,        -0.289176,         0.180587,         0.457473
1215864000.000,2008-07-12 12:00:00,        -0.293697,         0.185908,         0.453257
1215950400.000,2008-07-13 12:00:00,        -0.292311,         0.184914,         0.455326
1216036800.000,2008-07-14 12:00:00,        -0.288458,         0.181428,         0.444143
1216123200.000,2008-07-15 12:00:00,        -0.293984,         0.181699,         0.437845
1216209600.000,2008-07-16 12:00:00,        -0.289958,         0.185968,         0.454081
1216296000.000,2008-07-17 12:00:00,        -0.294012,         0.183461,         0.452634
1216382400.000,2008-07-18 12:00:00,        -0.292811,         0.186948,         0.445314
1216468800.000,2008-07-19 12:00:00,        -0.290559,         0.185156,         0.451698
1216555200.000,2008-07-20 12:00:00,        -0.291545,         0.185776,         0.452430
1216641600.000,2008-07-21 12:00:00,        -0.289212,         0.187556,         0.446890
1216728000.000,2008-07-22 12:00:00,        -0.290492,         0.187412,         0.444945
1216814400.000,2008-07-23 12:00:00,        -0.287120,         0.184202,         0.441181
1216900800.000,2008-07-24 12:00:00,        -0.293177,         0.183021,         0.421871
1216987200.000,2008-07-25 12:00:00,        -0.294843,         0.185167,         0.453216
1217073600.000,2008-07-26 12:00:00,        -0.288747,         0.187786,         0.435257
1217160000.000,2008-07-27 12:00:00,        -0.290256,         0.187176,         0.442270
1217246400.000,2008-07-28 12:00:00,        -0.292583,         0.184002,         0.440703
