#reqtime=1732323739.116,2024-11-23 01:02:19.116,UTC
#URL=http://hvointernal.wr.usgs.gov/valve3//valve3.jsp?&a=rawData&o=csv&tz=UTC&w=900&h=780&n=1&x.0=75&y.0=20&w.0=750&h.0=240&mh.0=900&chCnt.0=1&src.0=hvo_def_gps&st.0=20060101000000000&et.0=20241120235959999&lg.0=true&ch.0=358&dataTypes.0=1132.0759046105668&plotType.0=ts&rk.0=9&ds.0=None&dsInt.0=&sdt.0=&ct.0=2&bl.0=[none]&linetype.0=o&ysLMin.0=&ysLMax.0=&despike_period.0=&filter_arg1.0=&filter_arg2.0=&despike.0=F&detrend.0=F&dmo_fl.0=0&filter_arg3.0=&dmo_arithmetic.0=None&dmo_arithmetic_value.0=&dmo_db.0=1&debias_period.0=&east.0=T&north.0=T&up.0=T&length.0=F&v_hs.0=T&v_vs.0=F&v_se.0=T&displacementBeforeStartTime.0=&displacementBeforeEndTime.0=&displacementBeforeModel.0=m&displacementAfterStartTime.0=&displacementAfterEndTime.0=&displacementAfterModel.0=m&d_hs.0=T&d_vs.0=F&d_se.0=T&plotSeparately.0=true
#source=hvo_def_gps
#st= 189345600.000, et= 785419199.999, chCnt=1
Epoch,Date,NPIT_east,NPIT_north,NPIT_up
1213531200.000,2008-06-15 12:00:00,        -0.060870,         0.202290,         0.338014
1213617600.000,2008-06-16 12:00:00,        -0.063663,         0.199008,         0.328676
1213704000.000,2008-06-17 12:00:00,        -0.061449,         0.202651,         0.336788
1213790400.000,2008-06-18 12:00:00,        -0.063120,         0.198856,         0.318342
1213876800.000,2008-06-19 12:00:00,        -0.062244,         0.203422,         0.322002
1213963200.000,2008-06-20 12:00:00,        -0.061296,         0.201800,         0.312853
1214049600.000,2008-06-21 12:00:00,        -0.061583,         0.200054,         0.312750
1214136000.000,2008-06-22 12:00:00,        -0.062491,         0.201612,         0.315260
1214222400.000,2008-06-23 12:00:00,        -0.064971,         0.208728,         0.329812
1214308800.000,2008-06-24 12:00:00,        -0.062764,         0.207140,         0.321067
1214395200.000,2008-06-25 12:00:00,        -0.063799,         0.207784,         0.321423
1214481600.000,2008-06-26 12:00:00,        -0.064637,         0.202314,         0.328452
1214568000.000,2008-06-27 12:00:00,        -0.063451,         0.203009,         0.345057
1214654400.000,2008-06-28 12:00:00,        -0.062023,         0.203260,         0.340040
1214740800.000,2008-06-29 12:00:00,        -0.061227,         0.204975,         0.342096
1214827200.000,2008-06-30 12:00:00,        -0.062616,         0.202726,         0.338813
1214913600.000,2008-07-01 12:00:00,        -0.062333,         0.203786,         0.330944
1215000000.000,2008-07-02 12:00:00,        -0.059644,         0.203286,         0.327642
1215086400.000,2008-07-03 12:00:00,        -0.062074,         0.200752,         0.325563
1215172800.000,2008-07-04 12:00:00,        -0.059474,         0.199921,         0.318154
1215259200.000,2008-07-05 12:00:00,        -0.058780,         0.203287,         0.322674
1215345600.000,2008-07-06 12:00:00,        -0.058099,         0.196286,         0.330021
1215432000.000,2008-07-07 12:00:00,        -0.057484,         0.201568,         0.312341
1215518400.000,2008-07-08 12:00:00,        -0.055548,         0.200254,         0.302500
1215604800.000,2008-07-09 12:00:00,        -0.054751,         0.197421,         0.321709
1215691200.000,2008-07-10 12:00:00,        -0.058386,         0.198276,         0.307381
1215777600.000,2008-07-11 12:00:00,        -0.056857,         0.201064,         0.304873
1215864000.000,2008-07-12 12:00:00,        -0.059213,         0.195821,         0.310217
1215950400.000,2008-07-13 12:00:00,        -0.057618,         0.195105,         0.309905
1216036800.000,2008-07-14 12:00:00,        -0.055558,         0.193041,         0.309245
1216123200.000,2008-07-15 12:00:00,        -0.061229,         0.191747,         0.303453
1216209600.000,2008-07-16 12:00:00,        -0.055876,         0.194141,         0.312908
1216296000.000,2008-07-17 12:00:00,        -0.056753,         0.192019,         0.310496
1216382400.000,2008-07-18 12:00:00,        -0.055856,         0.193052,         0.307673
1216468800.000,2008-07-19 12:00:00,        -0.053772,         0.193513,         0.311586
1216555200.000,2008-07-20 12:00:00,        -0.057254,         0.191042,         0.312278
1216641600.000,2008-07-21 12:00:00,        -0.054558,         0.191453,         0.302298
1216728000.000,2008-07-22 12:00:00,        -0.054837,         0.194938,         0.295111
1216814400.000,2008-07-23 12:00:00,        -0.052754,         0.187191,         0.298146
1216900800.000,2008-07-24 12:00:00,        -0.050251,         0.195274,         0.271855
1216987200.000,2008-07-25 12:00:00,        -0.056720,         0.195614,         0.289802
1217073600.000,2008-07-26 12:00:00,        -0.052036,         0.190311,         0.282890
1217160000.000,2008-07-27 12:00:00,        -0.053926,         0.187434,         0.290857
1217246400.000,2008-07-28 12:00:00,        -0.053895,         0.191624,         0.290902
1217332800.000,2008-07-29 12:00:00,        -0.052588,         0.187861,         0.277675
1217419200.000,2008-07-30 12:00:00,        -0.054986,         0.194912,         0.282198
1217505600.000,2008-07-31 12:00:00,        -0.052021,         0.194477,         0.282866
1217592000.000,2008-08-01 12:00:00,        -0.053744,         0.192103,         0.291654
1217678400.000,2008-08-02 12:00:00,        -0.052471,         0.188938,         0.299193
1217764800.000,2008-08-03 12:00:00,        -0.053328,         0.189502,         0.301020
1217851200.000,2008-08-04 12:00:00,        -0.051705,         0.191237,         0.279345
1217937600.000,2008-08-05 12:00:00,        -0.050032,         0.193116,         0.294009
1218024000.000,2008-08-06 12:00:00,        -0.049275,         0.185968,         0.284547
1218110400.000,2008-08-07 12:00:00,        -0.048957,         0.185984,         0.261718
1218196800.000,2008-08-08 12:00:00,        -0.048871,         0.180881,         0.260317
1218283200.000,2008-08-09 12:00:00,        -0.053398,         0.184983,         0.281843
1218369600.000,2008-08-10 12:00:00,        -0.054406,         0.187910,         0.281289
1218456000.000,2008-08-11 12:00:00,        -0.050206,         0.187854,         0.275574
1218542400.000,2008-08-12 12:00:00,        -0.052763,         0.186290,         0.276631
1218628800.000,2008-08-13 12:00:00,        -0.049720,         0.185257,         0.294536
1218715200.000,2008-08-14 12:00:00,        -0.049910,         0.182926,         0.281224
1218801600.000,2008-08-15 12:00:00,        -0.052896,         0.185557,         0.276952
